categories,shipping profile,hazmat,,subcategory categories,subcategories,,condition categories,conditions
,,,,Toys & Hobbies,Other LEGO,,Electronics,Brand New
,,,,Toys & Hobbies,Other Plush,,Electronics,Open-box
,,,,Toys & Hobbies,Other Tabletop Games,,Electronics,Refurbished
,,,,Toys & Hobbies,Other Toys,,Electronics,Used and fully functioning
,,,,Toys & Hobbies,Pokémon Plush,,Electronics,"For parts, not fully functioning, or untested"
,,,,Toys & Hobbies,Puzzles,,Ephemera & Postcards,Pre-owned - Excellent
,,,,Toys & Hobbies,Radio Control Vehicles & Toys,,Ephemera & Postcards,Pre-owned - Good
,,,,Toys & Hobbies,Slot Cars,,Ephemera & Postcards,Pre-owned - Fair
,,,,Toys & Hobbies,Sonny Angel and Smiski,,Ephemera & Postcards,Pre-owned - Damaged
,,,,Toys & Hobbies,Squishmallows,,Everyday Electronics,Brand New
,,,,Toys & Hobbies,Vintage Toys,,Everyday Electronics,Open-box
,,,,Toys & Hobbies,Warhammer 40k & Wargames,,Everyday Electronics,Refurbished
,,,,Trading Card Games,Akora,,Everyday Electronics,Used and fully functioning
,,,,Trading Card Games,DC Cards,,Everyday Electronics,"For parts, not fully functioning, or untested"
,,,,Trading Card Games,Digimon Cards,,Fiber Arts & Sewing Supplies,New
,,,,Trading Card Games,Disney Cards,,Fiber Arts & Sewing Supplies,Pre-owned - Excellent
,,,,Trading Card Games,Dragon Ball Cards,,Fiber Arts & Sewing Supplies,Pre-owned - Good
,,,,Trading Card Games,Flesh & Blood,,Fiber Arts & Sewing Supplies,Pre-owned - Fair
,,,,Trading Card Games,Garbage Pail Kids,,Fiber Arts & Sewing Supplies,Pre-owned - Damaged
,,,,Trading Card Games,Kickstarter & Other Cards,,Fine & Precious Metals,New
,,,,Trading Card Games,Kryptik,,Fine & Precious Metals,New with defects
,,,,Trading Card Games,Magic: The Gathering,,Fine & Precious Metals,Pre-owned - Excellent
,,,,Trading Card Games,Marvel Cards,,Fine & Precious Metals,Pre-owned - Good
,,,,Trading Card Games,MetaZoo,,Fine & Precious Metals,Pre-owned - Fair
,,,,Trading Card Games,My Hero Academia Cards,,Fine & Precious Metals,Pre-owned - Damaged
,,,,Trading Card Games,Naruto Cards,,Flesh & Blood,Graded
,,,,Trading Card Games,One Piece Cards,,Flesh & Blood,New
,,,,Trading Card Games,Pokémon Cards,,Flesh & Blood,Mint
,,,,Trading Card Games,Sorcery: Contested Realm,,Flesh & Blood,Near Mint
,,,,Trading Card Games,Star Wars Cards,,Flesh & Blood,Light Played
,,,,Trading Card Games,TCG Accessories,,Flesh & Blood,Moderately Played
,,,,Trading Card Games,Union Arena,,Flesh & Blood,Heavily Played
,,,,Trading Card Games,VeeFriends,,Flesh & Blood,Damaged
,,,,Trading Card Games,Weiß Schwarz,,Football Singles,Graded
,,,,Trading Card Games,Yu-Gi-Oh! Cards,,Football Singles,Raw - Near Mint or Better
,,,,Video Games,Consoles & Accessories,,Football Singles,Raw - Excellent
,,,,Video Games,Modern Games,,Football Singles,Raw - Very Good
,,,,Video Games,Retro Games,,Football Singles,Raw - Poor
,,,,Video Games,"Strategy Guides, Manuals, Replacement Cases",,Funko Pop!,Mint
,,,,Women's Fashion,Other Women's Fashion,,Funko Pop!,Near Mint
,,,,Women's Fashion,Women's Activewear,,Funko Pop!,Good
,,,,Women's Fashion,Women's Contemporary,,Funko Pop!,Fair
,,,,Women's Fashion,Women's Shoes,,Funko Pop!,Poor
,,,,Women's Fashion,Women's True Vintage,,Funko Soda,Mint
,,,,Women's Fashion,Y2K,,Funko Soda,Near Mint
,,,,and Whatnot,Breweriana,,Funko Soda,Good
,,,,and Whatnot,Other,,Funko Soda,Fair
,,,,,,,Funko Soda,Poor
,,,,,,,G.I. Joe Figures,Mint
,,,,,,,G.I. Joe Figures,Near Mint
,,,,,,,G.I. Joe Figures,Good
,,,,,,,G.I. Joe Figures,Fair
,,,,,,,G.I. Joe Figures,Poor
,,,,,,,Garbage Pail Kids,Graded
,,,,,,,Garbage Pail Kids,New
,,,,,,,Garbage Pail Kids,Mint
,,,,,,,Garbage Pail Kids,Near Mint
,,,,,,,Garbage Pail Kids,Light Played
,,,,,,,Garbage Pail Kids,Moderately Played
,,,,,,,Garbage Pail Kids,Heavily Played
,,,,,,,Garbage Pail Kids,Damaged
,,,,,,,Golf Accessories,New
,,,,,,,Golf Accessories,Used
,,,,,,,Golf Apparel,New
,,,,,,,Golf Apparel,Used
,,,,,,,Golf Bags,New
,,,,,,,Golf Bags,Used
,,,,,,,Golf Balls,New
,,,,,,,Golf Balls,Used
,,,,,,,Golf Clubs,New
,,,,,,,Golf Clubs,Used
,,,,,,,Golf Shoes,New
,,,,,,,Golf Shoes,Used
,,,,,,,Graphic Novels,Brand New
,,,,,,,Graphic Novels,Like New
,,,,,,,Graphic Novels,Very Good
,,,,,,,Graphic Novels,Good
,,,,,,,Graphic Novels,Fair
,,,,,,,Graphic Novels,Poor
,,,,,,,Hand Tools,New with box
,,,,,,,Hand Tools,New without box
,,,,,,,Hand Tools,New with defects
,,,,,,,Hand Tools,Refurbished
,,,,,,,Hand Tools,Pre-owned - Good
,,,,,,,Hand Tools,Pre-owned - Fair
,,,,,,,Hand Tools,Pre-owned - Damaged
,,,,,,,Handcrafted & Artisan Jewelry,New
,,,,,,,Handcrafted & Artisan Jewelry,New with defects
,,,,,,,Handcrafted & Artisan Jewelry,Pre-owned - Excellent
,,,,,,,Handcrafted & Artisan Jewelry,Pre-owned - Good
,,,,,,,Handcrafted & Artisan Jewelry,Pre-owned - Fair
,,,,,,,Handcrafted & Artisan Jewelry,Pre-owned - Damaged
,,,,,,,Hockey Singles,Graded
,,,,,,,Hockey Singles,Raw - Near Mint or Better
,,,,,,,Hockey Singles,Raw - Excellent
,,,,,,,Hockey Singles,Raw - Very Good
,,,,,,,Hockey Singles,Raw - Poor
,,,,,,,Home Decor,New with box
,,,,,,,Home Decor,New without box
,,,,,,,Home Decor,New with defects
,,,,,,,Home Decor,Refurbished
,,,,,,,Home Decor,Pre-owned - Good
,,,,,,,Home Decor,Pre-owned - Fair
,,,,,,,Home Decor,Pre-owned - Damaged
,,,,,,,Hot Toys,Mint
,,,,,,,Hot Toys,Near Mint
,,,,,,,Hot Toys,Good
,,,,,,,Hot Toys,Fair
,,,,,,,Hot Toys,Poor
,,,,,,,Instruments & Accessories,Mint
,,,,,,,Instruments & Accessories,Excellent
,,,,,,,Instruments & Accessories,Very Good
,,,,,,,Instruments & Accessories,"Good, Fair"
,,,,,,,Instruments & Accessories,Poor
,,,,,,,Jewelry,New
,,,,,,,Jewelry,New with defects
,,,,,,,Jewelry,Pre-owned - Excellent
,,,,,,,Jewelry,Pre-owned - Good
,,,,,,,Jewelry,Pre-owned - Fair
,,,,,,,Jewelry,Pre-owned - Damaged
,,,,,,,Kickstarter & Other Cards,Graded
,,,,,,,Kickstarter & Other Cards,New
,,,,,,,Kickstarter & Other Cards,Mint
,,,,,,,Kickstarter & Other Cards,Near Mint
,,,,,,,Kickstarter & Other Cards,Light Played
,,,,,,,Kickstarter & Other Cards,Moderately Played
,,,,,,,Kickstarter & Other Cards,Heavily Played
,,,,,,,Kickstarter & Other Cards,Damaged
,,,,,,,Kitchen & Dining,New with box
,,,,,,,Kitchen & Dining,New without box
,,,,,,,Kitchen & Dining,New with defects
,,,,,,,Kitchen & Dining,Refurbished
,,,,,,,Kitchen & Dining,Pre-owned - Good
,,,,,,,Kitchen & Dining,Pre-owned - Fair
,,,,,,,Kitchen & Dining,Pre-owned - Damaged
,,,,,,,Knives & Hunting,New with box
,,,,,,,Knives & Hunting,New without box
,,,,,,,Knives & Hunting,New with defects
,,,,,,,Knives & Hunting,Pre-owned - Good
,,,,,,,Knives & Hunting,Pre-owned - Fair
,,,,,,,Knives & Hunting,Pre-owned - Damaged
,,,,,,,Kryptik,Graded
,,,,,,,Kryptik,New
,,,,,,,Kryptik,Mint
,,,,,,,Kryptik,Near Mint
,,,,,,,Kryptik,Light Played
,,,,,,,Kryptik,Moderately Played
,,,,,,,Kryptik,Heavily Played
,,,,,,,Kryptik,Damaged
,,,,,,,LEGO Minifigures,New in box
,,,,,,,LEGO Minifigures,New with damaged box
,,,,,,,LEGO Minifigures,New without box
,,,,,,,LEGO Minifigures,Used - Like New
,,,,,,,LEGO Minifigures,Used - Good
,,,,,,,LEGO Minifigures,Used - Fair
,,,,,,,LEGO Minifigures,Used - Poor
,,,,,,,LEGO Sets,New in box
,,,,,,,LEGO Sets,New with damaged box
,,,,,,,LEGO Sets,New without box
,,,,,,,LEGO Sets,Used - Like New
,,,,,,,LEGO Sets,Used - Good
,,,,,,,LEGO Sets,Used - Fair
,,,,,,,LEGO Sets,Used - Poor
,,,,,,,Lures,New
,,,,,,,Lures,pre-owned - Excellent
,,,,,,,Lures,pre-owned - good
,,,,,,,Lures,pre-owned - fair
,,,,,,,Lures,pre-owned - damaged
,,,,,,,Luxury Bags & Accessories,New With Tags
,,,,,,,Luxury Bags & Accessories,New Without Tags
,,,,,,,Luxury Bags & Accessories,New With Defects
,,,,,,,Luxury Bags & Accessories,Excellent
,,,,,,,Luxury Bags & Accessories,Very Good
,,,,,,,Luxury Bags & Accessories,Good
,,,,,,,Luxury Bags & Accessories,Fair
,,,,,,,Luxury Bags & Accessories,Poor
,,,,,,,MOTU Figures,Mint
,,,,,,,MOTU Figures,Near Mint
,,,,,,,MOTU Figures,Good
,,,,,,,MOTU Figures,Fair
,,,,,,,MOTU Figures,Poor
,,,,,,,Magazines,Brand New
,,,,,,,Magazines,Like New
,,,,,,,Magazines,Very Good
,,,,,,,Magazines,Good
,,,,,,,Magazines,Fair
,,,,,,,Magazines,Poor
,,,,,,,Magic: The Gathering,Graded
,,,,,,,Magic: The Gathering,New
,,,,,,,Magic: The Gathering,Mint
,,,,,,,Magic: The Gathering,Near Mint
,,,,,,,Magic: The Gathering,Light Played
,,,,,,,Magic: The Gathering,Moderately Played
,,,,,,,Magic: The Gathering,Heavily Played
,,,,,,,Magic: The Gathering,Damaged
,,,,,,,Marvel Cards,Graded
,,,,,,,Marvel Cards,New
,,,,,,,Marvel Cards,Mint
,,,,,,,Marvel Cards,Near Mint
,,,,,,,Marvel Cards,Light Played
,,,,,,,Marvel Cards,Moderately Played
,,,,,,,Marvel Cards,Heavily Played
,,,,,,,Marvel Cards,Damaged
,,,,,,,Marvel Figures,Mint
,,,,,,,Marvel Figures,Near Mint
,,,,,,,Marvel Figures,Good
,,,,,,,Marvel Figures,Fair
,,,,,,,Marvel Figures,Poor
,,,,,,,Men's Fashion,New With Tags
,,,,,,,Men's Fashion,New without Tags
,,,,,,,Men's Fashion,New with Defects
,,,,,,,Men's Fashion,Pre-owned - Excellent
,,,,,,,Men's Fashion,Pre-owned - Good
,,,,,,,Men's Fashion,Pre-owned - Fair
,,,,,,,Men's Fashion,Pre-owned - Damaged
,,,,,,,Men's Jewelry,New
,,,,,,,Men's Jewelry,New with defects
,,,,,,,Men's Jewelry,Pre-owned - Excellent
,,,,,,,Men's Jewelry,Pre-owned - Good
,,,,,,,Men's Jewelry,Pre-owned - Fair
,,,,,,,Men's Jewelry,Pre-owned - Damaged
,,,,,,,Men's Modern,New With Tags
,,,,,,,Men's Modern,New without Tags
,,,,,,,Men's Modern,New with Defects
,,,,,,,Men's Modern,Pre-owned - Excellent
,,,,,,,Men's Modern,Pre-owned - Good
,,,,,,,Men's Modern,Pre-owned - Fair
,,,,,,,Men's Modern,Pre-owned - Damaged
,,,,,,,Men's Vintage Clothing,New With Tags
,,,,,,,Men's Vintage Clothing,New without Tags
,,,,,,,Men's Vintage Clothing,New with Defects
,,,,,,,Men's Vintage Clothing,Pre-owned - Excellent
,,,,,,,Men's Vintage Clothing,Pre-owned - Good
,,,,,,,Men's Vintage Clothing,Pre-owned - Fair
,,,,,,,Men's Vintage Clothing,Pre-owned - Damaged
,,,,,,,MetaZoo,Graded
,,,,,,,MetaZoo,New
,,,,,,,MetaZoo,Mint
,,,,,,,MetaZoo,Near Mint
,,,,,,,MetaZoo,Light Played
,,,,,,,MetaZoo,Moderately Played
,,,,,,,MetaZoo,Heavily Played
,,,,,,,MetaZoo,Damaged
,,,,,,,Midrange & Fashion Bags,New With Tags
,,,,,,,Midrange & Fashion Bags,New Without Tags
,,,,,,,Midrange & Fashion Bags,New With Defects
,,,,,,,Midrange & Fashion Bags,Pre-owned - Excellent
,,,,,,,Midrange & Fashion Bags,Pre-owned - Very Good
,,,,,,,Midrange & Fashion Bags,Pre-owned - Good
,,,,,,,Midrange & Fashion Bags,Pre-owned - Fair
,,,,,,,Midrange & Fashion Bags,Pre-owned - Poor
,,,,,,,Modern Comics,Graded
,,,,,,,Modern Comics,Gem Mint
,,,,,,,Modern Comics,Mint
,,,,,,,Modern Comics,Near Mint
,,,,,,,Modern Comics,Very Fine
,,,,,,,Modern Comics,Fine
,,,,,,,Modern Comics,Very Good
,,,,,,,Modern Comics,Good
,,,,,,,Modern Comics,Fair
,,,,,,,Modern Comics,Poor
,,,,,,,Modern Games,"Brand New, Factory Sealed"
,,,,,,,Modern Games,Complete in Box
,,,,,,,Modern Games,Missing Manual
,,,,,,,Modern Games,Loose
,,,,,,,Modern Games,Graded
,,,,,,,Movie Memorabilia,Mint
,,,,,,,Movie Memorabilia,Excellent
,,,,,,,Movie Memorabilia,Very Good
,,,,,,,Movie Memorabilia,Good
,,,,,,,Movie Memorabilia,Fair
,,,,,,,Movie Memorabilia,Poor
,,,,,,,Music Memorabilia,Mint
,,,,,,,Music Memorabilia,Excellent
,,,,,,,Music Memorabilia,Very Good
,,,,,,,Music Memorabilia,"Good, Fair"
,,,,,,,Music Memorabilia,Poor
,,,,,,,My Hero Academia Cards,Graded
,,,,,,,My Hero Academia Cards,New
,,,,,,,My Hero Academia Cards,Mint
,,,,,,,My Hero Academia Cards,Near Mint
,,,,,,,My Hero Academia Cards,Light Played
,,,,,,,My Hero Academia Cards,Moderately Played
,,,,,,,My Hero Academia Cards,Heavily Played
,,,,,,,My Hero Academia Cards,Damaged
,,,,,,,Naruto Cards,Graded
,,,,,,,Naruto Cards,New
,,,,,,,Naruto Cards,Mint
,,,,,,,Naruto Cards,Near Mint
,,,,,,,Naruto Cards,Light Played
,,,,,,,Naruto Cards,Moderately Played
,,,,,,,Naruto Cards,Heavily Played
,,,,,,,Naruto Cards,Damaged
